"_type","director","summary","title"
"MovieItem","Chris Butler","The charismatic Sir Lionel Frost considers himself to be the world's foremost investigator of myths and monsters. The trouble is none of his small-minded high-society peers seems to ...","Missing Link"
"MovieItem","Stefano Sollima","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.","Sicario: Day of the Soldado"
"MovieItem","Rupert Wyatt","Set in a Chicago neighborhood nearly a decade after an occupation by an extra-terrestrial force, Captive State explores the lives on both sides of the conflict - the collaborators and dissidents.","Captive State"
"MovieItem","Chris Columbus","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Harry Potter and the Sorcerer's Stone"
"MovieItem","Nick Bruno","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","Spies in Disguise"
"MovieItem","Paul Feig","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","A Simple Favor"
"MovieItem","Stephen Chbosky","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Wonder"
"MovieItem","Chris Renaud","Plot unknown.","The Secret Life of Pets 2"
"MovieItem","John Carpenter","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield to kill again.","Halloween"
"MovieItem","Gareth Evans","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.","Apostle"
"MovieItem","Karey Kirkpatrick","A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.","Smallfoot"
"MovieItem","Andy Muschietti","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","It"
"MovieItem","Ryan Coogler","After the death of his father, Prince T'Challa ascends to the throne of the small African country of Wakanda. T'Challa is also Black Panther, superhero. Now not only must he govern his country but defeat a dangerous adversary.","Black Panther"
"MovieItem","Jason Reitman","American Senator Gary Hart's presidential campaign in 1988 is derailed when he's caught in a scandalous love affair.","The Front Runner"
"MovieItem","Anna Boden","Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.","Captain Marvel"
"MovieItem","David Fincher","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.","The Girl with the Dragon Tattoo"
"MovieItem","Yorgos Lanthimos","In early 18th century England, a frail Queen Anne (Colman) occupies the throne and her close friend Lady Sarah (Weisz) governs the country in her stead. When a new servant Abigail (Stone) arrives, her charm endears her to Sarah.","The Favourite"
"MovieItem","Peter Farrelly","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.","Green Book"
"MovieItem","Todd Strauss-Schulson","A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.","Isn't It Romantic"
"MovieItem","Ari Aster","After the family matriarch passes away, a grieving family is haunted by tragic and disturbing occurrences, and begin to unravel dark secrets.","Hereditary"
"MovieItem","Bradley Walsh","A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?","The Holiday Calendar"
"MovieItem","J.A. Bayona","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","Jurassic World: Fallen Kingdom"
"MovieItem","Martin McDonagh","A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.","Three Billboards Outside Ebbing, Missouri"
"MovieItem","Anthony Russo","The plot is yet to be revealed. Will be the fourth installment of the 'Avengers' series.","Untitled Avengers Movie"
"MovieItem","Desiree Akhavan","In 1993, a teenage girl is forced into a gay conversion therapy center by her conservative guardians.","The Miseducation of Cameron Post"
"MovieItem","Todd Phillips","Plot kept under wraps. Film will center on how the popular comic book villain known as The Joker came to be.","Joker"
"MovieItem","David Leitch","Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.","Deadpool 2"
"MovieItem","Gary Ross","Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.","Ocean's Eight"
"MovieItem","Ron Howard","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.","Solo: A Star Wars Story"
"MovieItem","Panos Cosmatos","The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.","Mandy"
"MovieItem","Andy Muschietti","27 years later, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","It: Chapter Two"
"MovieItem","Ol Parker","Five years after the events of","Mamma Mia! Here We Go Again"
"MovieItem","Orson Welles","A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.","The Other Side of the Wind"
"MovieItem","Phil Johnston","Six years after the events of ""Wreck-It Ralph"", Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.","Ralph Breaks the Internet"
"MovieItem","Drew Goddard","Circa 1968, several strangers, most with a secret to bury, meet by chance at Lake Tahoe's El Royale, a rundown hotel with a dark past. Over the course of one night, everyone will show their true colors - before everything goes to hell.","Bad Times at the El Royale"
"MovieItem","Jonah Hill","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.","Mid90s"
"MovieItem","David Yates","The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.","Fantastic Beasts and Where to Find Them"
"MovieItem","Michael Gracey","Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","The Greatest Showman"
"MovieItem","Peyton Reed","As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","Ant-Man and the Wasp"
"MovieItem","Marc Forster","A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.","Christopher Robin"
"MovieItem","Quentin Tarantino","A faded TV actor and his stunt double embark on an odyssey to make a name for themselves in the film industry during the Helter Skelter reign of terror in 1969 Los Angeles.","Once Upon a Time in Hollywood"
"MovieItem","Susanna Fogel","Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.","The Spy Who Dumped Me"
"MovieItem","Albert Hughes","In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.","Alpha"
"MovieItem","Andy Serkis","A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.","Mowgli: Legend of the Jungle"
"MovieItem","Jonathan Baker","Chased by a vengeful criminal, the feds and a gang of otherworldly soldiers, a recently released ex-con, and his adopted teenage brother are forced to go on the run with a weapon of mysterious origin as their only protection.","Kin"
"MovieItem","Steven Caple Jr.","Under the tutelage of Rocky Balboa, newly crowned light heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.","Creed II"
"MovieItem","James Wan","Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.","Aquaman"
"MovieItem","Joel Edgerton","The son of a Baptist preacher is forced to participate in a church-supported gay conversion program after being forcibly outed to his parents.","Boy Erased"
"MovieItem","Otto Bathurst","A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown in a thrilling action-adventure packed with gritty battlefield exploits, mind-blowing fight choreography, and a timeless romance.","Robin Hood"
"MovieItem","Tyler Perry","A woman is released from prison and reunites with her sister. She soon discovers that her sister is in an online relationship with a man who may not be what he seems.","Nobody's Fool"
"MovieItem","George Tillman Jr.","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.","The Hate U Give"
"MovieItem","Felix van Groeningen","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.","Beautiful Boy"
"MovieItem","Anthony Russo","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Avengers: Infinity War"
"MovieItem","Christopher McQuarrie","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Mission: Impossible - Fallout"
"MovieItem","Corin Hardy","A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.","The Nun"
"MovieItem","Damien Chazelle","A look at the life of the astronaut,","First Man"
"MovieItem","Antoine Fuqua","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?","The Equalizer 2"
"MovieItem","Donovan Marsh","An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.","Hunter Killer"
"MovieItem","Steve McQueen","Set in contemporary Chicago, amidst a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.","Widows"
"MovieItem","Brad Bird","Bob Parr (Mr. Incredible) is left to care for the kids while Helen (Elastigirl) is out saving the world.","Incredibles 2"
"MovieItem","Ruben Fleischer","When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.","Venom"
